CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,CWE
641914,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/zoneMasterSlice.ts,<script>,398
641902,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/userTypeMasterSlice.ts,<script>,398
641925,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/userGuideRoleAllSlice.ts,<script>,398
641941,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/typeConceptPointSlice.ts,<script>,398
641928,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/termTypeMasterSlice.ts,<script>,398
641935,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/systemParamSlice.ts,<script>,398
641820,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/systemParamModuleSlice.ts,<script>,398
642078,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/shipperGroupSlice.ts,<script>,398
642199,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/processTypeSlice.ts,<script>,398
641994,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/nominationTypeSlice.ts,<script>,398
642084,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/nominationStatusSlice.ts,<script>,398
642172,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/nominationPointSlice.ts,<script>,398
642177,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/entryExitSlice.ts,<script>,398
641862,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/emailNotiMgnSlice.ts,<script>,398
641982,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/contractPointSlice.ts,<script>,398
642115,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/auditLogSlice.ts,<script>,398
642014,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/slices/areaMasterSlice.ts,<script>,398
642033,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/ProviderRedux.tsx,<script>,398
642020,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/store/ClientOnlyPersistGate.tsx,<script>,398
642140,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/secureStorage.ts,<script>,398
642180,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/permissionFallback.ts,<script>,398
642028,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/getCookieValue.tsx,<script>,398
642222,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,<anonymous>,476
642201,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,<anonymous>,476
642183,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,<anonymous>,476
642181,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,separateTimeShow,476
642159,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,<anonymous>,476
642151,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,exportCyberpunk,476
642149,Logically dead code,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,exportToXlsxWithNumericDetection,561
642137,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,<anonymous>,476
642126,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,<anonymous>,476
642122,Logically dead code,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,exportHistoryDailyAdjustImbal,561
642077,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,isRowDisabled,476
642064,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,<anonymous>,476
642032,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,<anonymous>,476
641990,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,splitByGroupCopyCat,476
641985,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,sumFromKey7,476
641978,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,<anonymous>,476
641972,Logically dead code,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,originalExport,561
