CID,File,Line,Type,Status,Code
41796,"/src/app/[lng]/authorization/(menu)/tariff/(menu)/TariffChargeReport/page.tsx",155,"Bad use of null-like value","FALSE_POSITIVE",""
41797,"/src/app/[lng]/authorization/(menu)/allocation/(menu)/alloManage/form/table.tsx",188,"Property access or function call before check for null or undefined","NEEDS_REVIEW","setselectedItem((pre: any) => [...pre, itemPush]);"
41798,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/uploadTemplateForShipper/page.tsx",173,"Bad use of null-like value","FALSE_POSITIVE",""
41799,"/src/app/[lng]/authorization/(menu)/tariff/(menu)/TariffChargeReport/form/table.tsx",150,"Bad use of null-like value","NEEDS_REVIEW","<tr"
41800,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balReport/form/rowYellowComponent.tsx",81,"Property access or function call before check for null or undefined","NEEDS_REVIEW","<td"
41801,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/summaryNominationReport/form/tableDaily/tableDailyArea.tsx",551,"Property access or function call before check for null or undefined","FALSE_POSITIVE",""
41802,"/src/app/[lng]/authorization/(menu)/dam/(menu)/parameters/(menu)/systemConfiguration/(menu)/systemParameter/form/table.tsx",211,"Bad use of null-like value","FALSE_POSITIVE","</div>"
41805,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/weeklyManagement/form/table.tsx",129,"Bad use of null-like value","DEFINITELY_FIXED","const existingRole = selectedRoles?.find((role: any) => role?.id === id);"
41809,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/systemLogin/page.tsx",163,"Property access or function call before check for null or undefined","FALSE_POSITIVE",""
41810,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/users/form/table.tsx",414,"Bad use of null-like value","DEFINITELY_FIXED","{row?.account_reason?.length}"
41814,"/src/app/[lng]/authorization/(menu)/event/(menu)/EventOffSpecGas/form/formDocument3.tsx",405,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","setValue(""shipper_id"", selectedShippers.length === shipperData.length ? [] : shipperData?.filter((item: any) => !defaultShippersId?.includes(item.id)).map((item: any) => item.id));"
41816,"/src/app/[lng]/(authentication)/signin/page.tsx",404,"Property access or function call before check for null or undefined","FALSE_POSITIVE","}"
41817,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/systemLogin/form/tableHistory.tsx",118,"Bad use of null-like value","FALSE_POSITIVE","</button> */}"
41820,"/src/app/[lng]/authorization/(menu)/allocation/(menu)/allocationReview/page.tsx",139,"Bad use of null-like value","LIKELY_FIXED","from = to.startOf?.(""year"") ?? to;"
41821,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/parkingAllocation/page.tsx",67,"Bad use of null-like value","FALSE_POSITIVE",""
41822,"/src/app/[lng]/authorization/(menu)/event/(menu)/EmergencyDifficultDay/form/table.tsx",1299,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","{row?.event_status?.name ?? ''}"
41825,"/src/app/[lng]/authorization/(menu)/event/(menu)/EmergencyDifficultDay/form/table.tsx",426,"Property access or function call before check for null or undefined","NEEDS_REVIEW","<th"
41826,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/group/(menu)/other/form/tableHistory.tsx",185,"Bad use of null-like value","LIKELY_FIXED","disabled={row?.division.length <= 0 && true}"
41827,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/dailyManagement/nomCodeView/tableEachZone.tsx",1300,"Property access or function call before check for null or undefined","LIKELY_FIXED","sortedData.length > 0 && sortedData?.map((row: any, index: any) => {"
41829,"/src/components/other/tableEntry_BU.tsx",77,"Bad use of null-like value","FALSE_POSITIVE","}"
41831,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/weeklyManagement/nomCodeView/tableEachZone.tsx",662,"Property access or function call before check for null or undefined","NEEDS_REVIEW","{(() => {"
41835,"/src/utils/generalFormatter.ts",182,"Bad use of null-like value","FALSE_POSITIVE",""
41838,"/src/utils/generalFormatter.ts",193,"Property access or function call before check for null or undefined","FALSE_POSITIVE","// Check if parsedDate is valid"
41839,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balAdjust/(menu)/intradayAccimbalanceInventoryAdjust/form/tableHistory.tsx",104,"Bad use of null-like value","FALSE_POSITIVE",""
41844,"/src/components/other/motherDynamicTable2_function_BANGJU.tsx",2346,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","const thisData: any = headerData?.find((item: any) => item?.key == key[0]);"
41849,"/src/utils/generalFormatter.ts",4212,"Bad use of null-like value","NEEDS_REVIEW","localStorage.removeItem(""v4r2d9z5m3h0c1p0x7l"");"
41852,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/summaryNominationReport/form/tableDaily/tableDailyArea.tsx",912,"Property access or function call before check for null or undefined","LIKELY_FIXED","{`${filter_area?.name}`}"
